"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Year","Household type - Total - Private households (Counts)","Household type - Total - Private households (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - Without children (Counts)","Household type - One-census-family households without additional persons - Couple census families - Without children (% Distribution)","Household type - One-census-family households without additional persons - Couple census families - With children (Counts)","Household type - One-census-family households without additional persons - Couple census families - With children (% Distribution)","Household type - One-census-family households without additional persons - Lone parent (Counts)","Household type - One-census-family households without additional persons - Lone parent (% Distribution)","Household type - Multigenerational households (Counts)","Household type - Multigenerational households (% Distribution)","Household type - Other census family households (Counts)","Household type - Other census family households (% Distribution)","Household type - Non-census family households of two or more persons (Counts)","Household type - Non-census family households of two or more persons (% Distribution)","Household type - One-person households (Counts)","Household type - One-person households (% Distribution)"
"945","Powell River","CA","British Columbia","59"," ","5.2","00000","2016","7735","100","2665","34.5","1380","17.8","545","7","85","1.1","225","2.9","290","3.7","2545","32.9"
"950","Williams Lake","CA","British Columbia","59"," ","5.5","00100","2001","7475","100","1935","25.9","2225","29.8","715","9.6","260","3.5","390","5.2","255","3.4","1695","22.7"
"950","Williams Lake","CA","British Columbia","59"," ","5.5","00100","2006","7550","100","2185","28.9","1915","25.4","695","9.2","220","2.9","300","4","250","3.3","1985","26.3"
"950","Williams Lake","CA","British Columbia","59"," ","5.5","00100","2011","7630","100","2270","29.8","1800","23.6","665","8.7","185","2.4","345","4.5","295","3.9","2065","27.1"
"950","Williams Lake","CA","British Columbia","59"," ","5.5","00100","2016","7620","100","2300","30.2","1660","21.8","685","9","170","2.2","340","4.5","320","4.2","2140","28.1"
"952","Quesnel","CA","British Columbia","59"," ","4.5","00000","2001","9435","100","2590","27.5","2905","30.8","955","10.1","150","1.6","325","3.4","255","2.7","2245","23.8"
"952","Quesnel","CA","British Columbia","59"," ","4.5","00000","2006","9140","100","2885","31.6","2495","27.3","640","7","170","1.9","310","3.4","305","3.3","2330","25.5"
"952","Quesnel","CA","British Columbia","59"," ","4.5","00000","2011","9875","100","3090","31.3","2330","23.6","845","8.6","195","2","390","3.9","365","3.7","2665","27"
"952","Quesnel","CA","British Columbia","59"," ","4.5","00000","2016","10040","100","3225","32.1","2135","21.3","825","8.2","195","1.9","345","3.4","370","3.7","2940","29.3"
"955","Prince Rupert","CA","British Columbia","59"," ","4.5","00100","2001","5705","100","1155","20.2","1695","29.7","690","12.1","150","2.6","325","5.7","220","3.9","1470","25.8"
"955","Prince Rupert","CA","British Columbia","59"," ","4.5","00100","2006","5290","100","1175","22.2","1340","25.3","670","12.7","200","3.8","260","4.9","150","2.8","1495","28.3"
"955","Prince Rupert","CA","British Columbia","59"," ","4.5","00100","2011","5185","100","1185","22.9","1335","25.7","640","12.3","155","3","245","4.7","200","3.9","1420","27.4"
"955","Prince Rupert","CA","British Columbia","59"," ","4.5","00100","2016","5100","100","1220","23.9","1195","23.4","535","10.5","200","3.9","270","5.3","205","4","1480","29"
"965","Terrace","CA","British Columbia","59"," ","4.2","00000","2001","6090","100","1460","24","2000","32.8","630","10.3","160","2.6","305","5","245","4","1290","21.2"
