"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Global non-response rate","Data quality flag","Age","Knowledge of official languages - Total (2016 counts)","Knowledge of official languages - English only (2016 counts)","Knowledge of official languages - French only (2016 counts)","Knowledge of official languages - English and French (2016 counts)","Knowledge of official languages - Neither English nor French (2016 counts)","Knowledge of official languages - Total (% distribution (2016))","Knowledge of official languages - English only (% distribution (2016))","Knowledge of official languages - French only (% distribution (2016))","Knowledge of official languages - English and French (% distribution (2016))","Knowledge of official languages - Neither English nor French (% distribution (2016))"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","5 to 9","1905","1760","0","140","0","100","92.4","0","7.3","0"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","10 to 14","2045","1790","0","255","0","100","87.5","0","12.5","0"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","15 to 24","3845","3295","0","545","5","100","85.7","0","14.2","0.1"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","15 to 19","2100","1745","0","355","5","100","83.1","0","16.9","0.2"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","20 to 24","1745","1550","0","190","5","100","88.8","0","10.9","0.3"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","25 to 44","8340","7950","0","380","10","100","95.3","0","4.6","0.1"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","45 to 64","12365","12110","0","240","10","100","97.9","0","1.9","0.1"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","65 and over","7900","7845","0","50","5","100","99.3","0","0.6","0.1"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","65 to 74","4895","4855","0","35","5","100","99.2","0","0.7","0.1"
"1006","Division No.  6","Census division","Newfoundland and Labrador","10","4.4","00000","75 and over","3000","2985","0","15","5","100","99.5","0","0.5","0.2"
"1007","Division No.  7","Census division","Newfoundland and Labrador","10","3.7","00000","Total","33870","33260","5","585","20","100","98.2","0","1.7","0.1"
