"Geographic code","Geographic name","Geographic Type","Geographic Name, province or territory","Geographic Code, province or territory","Additional province code","Global non-response rate","Data quality flag","Age","Mother tongue - Total (2016 counts)","Mother tongue - English (2016 counts)","Mother tongue - French (2016 counts)","Mother tongue - Non-official language (2016 counts)","Mother tongue - English and French (2016 counts)","Mother tongue - English and non-official language (2016 counts)","Mother tongue - French and non-official language (2016 counts)","Mother tongue - English, French and non-official language (2016 counts)","Mother tongue - Total (% distribution (2016))","Mother tongue - English (% distribution (2016))","Mother tongue - French (% distribution (2016))","Mother tongue - Non-official language (% distribution (2016))","Mother tongue - English and French (% distribution (2016))","Mother tongue - English and non-official language (% distribution (2016))","Mother tongue - French and non-official language (% distribution (2016))","Mother tongue - English, French and non-official language (% distribution (2016))"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","10 to 14","945","880","15","30","15","10","0","0","100","93.1","1.6","3.2","1.6","1.1","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","15 to 24","1820","1710","40","40","25","15","0","0","100","94","2.2","2.2","1.4","0.8","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","15 to 19","1015","945","20","20","15","10","0","0","100","93.1","2","2","1.5","1","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","20 to 24","805","760","15","15","10","5","0","0","100","94.4","1.9","1.9","1.2","0.6","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","25 to 44","3560","3220","125","160","20","25","0","0","100","90.4","3.5","4.5","0.6","0.7","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","45 to 64","4880","4450","285","110","20","15","0","0","100","91.2","5.8","2.3","0.4","0.3","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","65 and over","3380","2980","330","55","15","5","0","0","100","88.2","9.8","1.6","0.4","0.1","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","65 to 74","1960","1760","155","30","10","0","0","0","100","89.8","7.9","1.5","0.5","0","0","0"
"110","Summerside","CA","Prince Edward Island","11"," ","3.9","00000","75 and over","1420","1220","175","20","5","0","0","0","100","85.9","12.3","1.4","0.4","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","Total","12645","4575","7620","145","280","15","10","5","100","36.2","60.3","1.1","2.2","0.1","0.1","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","0 to 14","1590","625","870","15","70","0","0","0","100","39.3","54.7","0.9","4.4","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","0 to 4","450","175","245","5","20","0","0","0","100","38.9","54.4","1.1","4.4","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","5 to 9","555","225","300","5","30","0","0","0","100","40.5","54.1","0.9","5.4","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","10 to 14","590","230","325","0","25","0","0","0","100","39","55.1","0","4.2","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","15 to 24","1265","495","715","5","40","5","0","0","100","39.1","56.5","0.4","3.2","0.4","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","15 to 19","595","245","325","5","25","5","0","0","100","41.2","54.6","0.8","4.2","0.8","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","20 to 24","665","250","395","5","20","0","0","0","100","37.6","59.4","0.8","3","0","0","0"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","25 to 44","2405","770","1530","40","55","0","0","5","100","32","63.6","1.7","2.3","0","0","0.2"
"13330","Campbellton (New Brunswick part)","CA","New Brunswick","13","24","4.8","00000","45 to 64","4525","1550","2845","55","60","5","10","0","100","34.3","62.9","1.2","1.3","0.1","0.2","0"
